Nome,volumetria,Precos
Restaurador Capilar SH-RD Protein Cream ,80 ml,R$ 129
Restaurador Capilar SH-RD Protein Cream ,150 ml,R$ 202
Shampoo SH-RD Nutra Therapy,140 ml,R$ 59
Condicionador SH-RD Nutra Therapy ,140 ml,R$ 59
Shampoo SH-RD Nutra Therapy ,250 ml,R$ 88
Condicionador SH-RD Nutra Therapy ,250 ml,R$ 88
Kit SH-RD Nutra Therapy Travel Size ,360 ml,R$ 247
