Nome,volumetria,Precos
Face Soap Extra Strength With Soap Dish,,R$ 59
Cfm Oil Control Face Wash,,R$ 79
Clinique For Men Oil Control Exfoliating Tonic,,R$ 75
Cfm Oil Control Moisturizer,,R$ 159
Cfm Anti-Age Moisturizer,,R$ 189
Spf 21 Moisturizer,,R$ 165
Age Defense For Eyes,,R$ 189
Cfm Anti-Puff Coooling Eye Gel,,R$ 159
Face Scrub,,R$ 119
Cream Shave,,R$ 95
Cfm Aloe Shave Gel,,R$ 125
Post Shave Soother,,R$ 159
Stick-Form Antiperspirant Deodorant,,R$ 65
Roll On Antiperspirant Deodorant,,R$ 65
