NOME DO PRODUTO,@DEPARTAMENTO,PRECO
Grampos de Cabelo,CABELOS.ai,"23,00"
Grampo V1670 Opera,CABELOS.ai,"23,00"
Piranha Tartaruga Vazada,CABELOS.ai,"25,00"
Piranha Peq Tartaruga Strass,CABELOS.ai,"24,00"
Piranha Cavel Dourada,CABELOS.ai,"23,00"
Presilha Tartaruga Pequena,CABELOS.ai,"18,00"
Tiara Tartaruga,CABELOS.ai,"22,00"
Tiara Cavel Dourada,CABELOS.ai,"26,00"
