NOME DO PRODUTO,@DEPARTAMENTO,PRECO
TESOURA E ESCOVA PARA MODELAR SOBRANCELHA,SOBRANCELHAS.ai,"220,00"
MINI PIN‚A PINK PERFECTION,SOBRANCELHAS.ai,"100,00"
MINI PIN‚A SLANT PINK PERFECTION,SOBRANCELHAS.ai,"245,00"
SLANT ULTRA PRECISION DOURADA,SOBRANCELHAS.ai,"175,00"
PENTE PARA CILIOS ILASH COMB,SOBRANCELHAS.ai,"110,00"
