Nome Produto,Marca,Descricao do Produto,  De  ,  Por  ,Legal
Batom Stickgloss Lip Colour,Laura Mercier,,139,110,cores selecionadas
Batom Super-Saturated High Gloss Lip Color,Urban Decay,,93,79,cores selecionadas
BB Cream Naked Beauty Balm,Urban Decay,,239,149,
BB Cream Stay All Day® 10-In-One HD Beauty Balm With Broad Spectrum SPF 30,Stila,,179,159,
Blush Argan Infinity Lip and Cheek Creamy Oil,Josie Maran,,99,60,cores selecionadas
Blush Coconut Watercolor Cheek Gelée,Josie Maran,,119,72,cores selecionadas
Blush Color Adapt,Sephora Collection,,69,59,
Blush Convertible Color,Stila,,118,79,cores selecionadas
Blush Everlasting Blush,Kat Von D,,169,99,cores selecionadas
Blush Fashion Artist's Edition,Sephora Collection,,89,54,cores selecionadas
Blush Second Skin Cheek Colour,Laura Mercier,,169,129,cores selecionadas
Blush Shameless Bold Blush,Marc Jacobs Beauty,,199,119,cores selecionadas
Brilho Crush Lip and Cheek Stain,Stila,,118,79,cores selecionadas
Brilho Extreme Sheen High Shine Lip Gloss,Hourglass,,143,99,cores selecionadas
Brilho L´Absolu Velours,Lancôme,,149,104,
Brilho Labial Lip Glacé,Laura Mercier,,149,119,cores selecionadas
Brilho Labial Lust For Lacquer Lip Vinyl,Marc Jacobs Beauty,,159,110,cores selecionadas
Brilho Labial Volume Booster Gloss Serum,Sephora Collection,,72,59,cores selecionadas
Brilho Lip Glaze,Stila,,100,79,cores selecionadas
Brilho Lip Junkie Lipgloss,Urban Decay,,93,79,cores selecionadas
Brilho Naked Lipgloss,Urban Decay,,125,79,Brilho Naked Lipgloss
Brilho Silk Shimmer Gloss,Stila,,100,79,
Brilho Ultra Shine Lip Gloss,Sephora Collection,,62,21,cores selecionadas
CC Eye Cream Concealer,Sephora Collection,,99,59,
Corretivo Argan Creamy Concealer Crayon,Josie Maran,,89,54,cores selecionadas
Corretivo Effacernes Longue Tenue Soin Teinté Unifiant Anti-Cernes,Lancôme,,199,139,
Corretivo Naked Skin Concealer,Urban Decay,,169,129,
Corretivo Perfecting Concealer,Stila,,118,79,cores selecionadas
Delineador Calligraphy Liquid Eye Liner,Hourglass,,164,129,COGNAC
Delineador de Sobrancelhas Stay All Day Waterproof Brow Color,Stila,,109,99,
Delineador Kajal Eye Liner,Stila,,89,69,
Delineador Long-Lasting Eye Liner,Sephora Collection,,64,49,
Delineador Smudge Stick Waterproof Eye Liner,Stila,,109,69,
Delineador Sparkle Waterproof Liquid Eye Liner,Stila,,118,89,
Delineador Stay All Day Waterproof Liquid Eye Liner,Stila,,109,89,cores selecionadas
Delineador Super-Saturated Ultra Intense Cream Eyeliner,Urban Decay,,155,99,
Delineador Tightline Cake Eye Liner,Laura Mercier,,149,129,cores selecionadas
Demaquilante Instant Eye Makeup Remover,Sephora Collection,,29,19,
Duo de Corretivos Secret Camouflage,Laura Mercier,,229,129,
Duo To Go - 2 Mini Pinças com Estojo em Glitter + Espelho,Tweezerman,,140,99,
Esmalte Color Hit Nail Polish,Sephora Collection,,19,12,cores selecionadas
Esmalte Enamored Hi-Shine Nail Lacquer,Marc Jacobs Beauty,,139,79,cores selecionadas
Esmalte Liquid Crystals,Formula X,,79,59,cores selecionadas
Esmalte Lusters,Formula X,,79,59,
Esmalte Nail Color,Formula X,,69,59,cores selecionadas
Esmalte Parfumerie,Revlon,,84,18,cores selecionadas
Esmalte Shifters,Formula X,,79,59,cores selecionadas
Esmalte Translucents,Formula X,,79,59,
Esmalte Vernis in Love,Lancôme,,99,69,
Estojo de Sombras Infinity Palette with Glittery Eyeshadow,Sephora Collection,,169,149,
Estojo de Sombras Style Eye-Con No.7,Marc Jacobs Beauty,,349,199,
Estojo de Sombras Vice3,Urban Decay,,299,249,
Estojo para Base Illuminating Powder Foundation,Stila,,73,49,
Estojo para Sombras Custom Eye Compact,Laura Mercier,,59,49,
Estojo Sombras Style Eye-Con No.3,Marc Jacobs Beauty,,229,129,
Feminine Palette,Urban Decay,,209,159,
Fixador de Maquiagem Chill Make Up Setting Spray,Urban Decay,,137,99,
Fixador De-Slick Oil-Control Makeup Setting Spray,Urban Decay,,179,99,
Kit Best of Hourglass Set,Hourglass,,275,199,
Lápis de Olhos 24/7 Glide-On Eye Pencils,Urban Decay,,115,79,cores selecionadas
Lápis de Olhos 24/7 Velvet Glide On Eye Pencil,Urban Decay,,115,69,
Lápis de Olhos Jumbo Liner 12HR Wear Waterproof,Sephora Collection,,64,49,cores selecionadas
Lápis de Olhos Jumbo Liner Spring Collection 15,Sephora Collection,,64,55,cores selecionadas
Lápis de Olhos Kohl Eye Pencil,Laura Mercier,,139,110,
Lápis de Olhos Nano Eyeliner,Sephora Collection,,19,12,
Lápis de Sobrancelhas Sculpting Brow Pencil,Sephora Collection,,36,14,
Lápis Labial 24/7 Glide-On Lip Pencils,Urban Decay,,115,69,
Lápis Labial Aura Sheer Lip Stain,Hourglass,,132,99,cores selecionadas
